dataset,method,validation_rows,test_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,tn,fp,fn,tp
lcqmc,bi_cosine,8802,12500,0.7776,0.7117919921875,0.93296,0.8075058856114111,0.9138439168,0.9216430779549372,0.7471335530281067,3889,2361,419,5831
lcqmc,bi_triplet,8802,12500,0.82648,0.7807126152152979,0.908,0.8395591389895702,0.9237062527999998,0.9270731402231486,0.7579765319824219,4656,1594,575,5675
lcqmc,CrossEncoder,8802,12500,0.79144,0.7193785378778754,0.95568,0.8208616780045351,0.9282711936,0.9305449112737204,-0.436832994222641,3920,2330,277,5973
lcqmc,BiEncoder + BM25,8802,12500,0.8356,0.8139500074839096,0.87008,0.8410795762122032,0.9133676288,0.9067218492971284,0.0297878393630188,5007,1243,812,5438
lcqmc,LLM Zero-shot,8802,12500,0.76576,0.7085635359116023,0.90288,0.794005909666526,0.8768617343999999,0.8751945989082386,2.359375,3929,2321,607,5643
lcqmc,LLM SFT LoRA,8802,12500,0.77968,0.7167121249690057,0.92496,0.8076278290025146,0.9018495744,0.9045893964777864,-0.203125,3965,2285,469,5781
bq_corpus,bi_cosine,8619,8618,0.7624738918542585,0.7158712541620422,0.8833599634786579,0.7908449984673547,0.8577027940022723,0.8501647370301055,0.5206060409545898,2701,1536,511,3870
bq_corpus,bi_triplet,8619,8618,0.7870735669528893,0.750098231827112,0.8714905272768775,0.8062506599091965,0.879600299467248,0.8783610059928468,0.4198615550994873,2965,1272,563,3818
bq_corpus,CrossEncoder,8619,8618,0.785100951496867,0.7473107764521807,0.8721753024423647,0.804929429113124,0.8763073341623615,0.8768106987344126,-0.2631875276565552,2945,1292,560,3821
bq_corpus,BiEncoder + BM25,8619,8618,0.7827802274309584,0.7583934088568486,0.8404473864414517,0.7973148549155479,0.8697768385022608,0.8626420347952186,-0.1528376345767312,3064,1173,699,3682
bq_corpus,LLM Zero-shot,8619,8618,0.6326293803666744,0.5979364823472513,0.8466103629308377,0.7008692365835223,0.733245675360113,0.7491211966614819,-0.078125,1743,2494,672,3709
bq_corpus,LLM SFT LoRA,8619,8618,0.7339289858435832,0.703112840466926,0.8249258160237388,0.7591639533662431,0.822026659739363,0.8271856588690598,-0.359375,2711,1526,767,3614
