model,epoch,loss,train_acc,test_acc
RNN,1,0.341201,1.000000,1.000000
RNN,2,0.007240,1.000000,1.000000
RNN,3,0.003618,1.000000,1.000000
RNN,4,0.002391,1.000000,1.000000
RNN,5,0.001777,1.000000,1.000000
RNN,6,0.001410,1.000000,1.000000
RNN,7,0.001166,1.000000,1.000000
RNN,8,0.000993,1.000000,1.000000
RNN,9,0.000864,1.000000,1.000000
RNN,10,0.000764,1.000000,1.000000
RNN,11,0.000684,1.000000,1.000000
RNN,12,0.000619,1.000000,1.000000
RNN,13,0.000565,1.000000,1.000000
RNN,14,0.000520,1.000000,1.000000
RNN,15,0.000481,1.000000,1.000000
LSTM,1,1.622799,0.205000,0.225000
LSTM,2,1.564625,0.528750,0.515000
LSTM,3,0.789504,1.000000,1.000000
LSTM,4,0.168513,1.000000,1.000000
LSTM,5,0.042797,1.000000,1.000000
LSTM,6,0.020454,1.000000,1.000000
LSTM,7,0.012812,1.000000,1.000000
LSTM,8,0.009151,1.000000,1.000000
LSTM,9,0.007034,1.000000,1.000000
LSTM,10,0.005668,1.000000,1.000000
LSTM,11,0.004724,1.000000,1.000000
LSTM,12,0.004036,1.000000,1.000000
LSTM,13,0.003513,1.000000,1.000000
LSTM,14,0.003104,1.000000,1.000000
LSTM,15,0.002775,1.000000,1.000000
